#mds1				mds2			rg	replica_index
1.337113012891103236e-01 -1.485150826399793227e-02	1.06212	1
1.263673960755350434e-01 -2.005888688034180092e-02	1.04834	1
8.967548806102136616e-02 5.292707050189470602e-02	0.99627	14
8.886833839151338232e-02 5.727598533370265727e-02	1.00625	14
-1.486088144224360572e-02 1.639366278942079591e-02	1.06435	4
-2.026157346175460477e-02 8.046381341492520045e-03	1.05718	4
6.868508998009781319e-02 -4.872506182463443719e-02	0.930313	5
-6.618300099417686461e-03 1.696804335964884752e-02	1.35288	3
-2.395837930886145564e-03 2.282143794314794860e-02	1.37348	3
-1.509745564829735251e-02 -2.932419054755576113e-02	1.10971	8
-2.487303103992008838e-02 9.808991326039634071e-03	1.35011	3
-2.222876408252056138e-02 5.258650196936438641e-03	1.1251	4
-1.015813497258658341e-02 -3.659174930621152816e-02	1.07162	8
1.330401714184533679e-01 7.727602180383596163e-03	1.07673	1
6.841348374462664916e-02 4.930204295795447694e-02	1.05837	14
-1.466500100019937783e-03 -2.798173192422412706e-02	1.05162	8
7.296223549616109860e-02 -5.668334402115914744e-02	0.937336	5
-1.093682159076125350e-02 -5.200223873772556391e-03	1.04082	4
-1.290528775953685148e-02 -9.923702115055294676e-03	1.19593	8
-4.685217658678372810e-02 -5.923512785450139526e-03	1.29753	3
-4.285481782891242125e-03 1.860612341585016899e-02	1.28544	6
2.090157418398026767e-03 1.881855744490538648e-02	1.21724	6
1.338716259441888046e-01 -1.781383293632128606e-02	1.10678	1
-4.598882316424368795e-03 1.104036394215488458e-02	1.25456	10
-1.315268096687439818e-02 -2.267821184695996764e-02	1.08397	8
-1.971685101979775770e-02 -2.649262971118711979e-02	1.12668	8
-1.319297143010097519e-02 1.596981771618498705e-02	1.29407	10
8.002772121441982522e-02 -5.308847325015261798e-02	0.982203	5
1.647869106175808840e-01 -9.758211474119867640e-03	1.19944	1
-6.019901965681877590e-03 1.647569508598597035e-02	1.19875	10
-3.658790381988344387e-02 -8.999051587127930574e-03	1.18929	3
5.938894313653945815e-03 -1.351928087280076206e-02	1.07768	8
1.485607082566364201e-01 -1.253815809823933050e-02	1.14032	1
1.481135703961722616e-01 -1.222731495583310492e-02	1.11151	1
-3.399610851420110155e-04 1.139238805060601573e-02	1.23856	0
6.365592941555404602e-03 1.531109562985605646e-02	1.21456	0
2.116380849625338484e-02 2.501303913560999972e-02	1.47205	6
-5.745663084593628789e-03 1.822773218299059486e-02	1.39462	9
-3.226630475076530669e-02 2.819003909047010023e-02	1.0694	7
-1.764811566256471384e-02 3.272296960206289972e-04	1.12058	7
8.182793937594690092e-03 -8.385915781326226670e-03	1.08065	8
5.648942779870706060e-02 1.068753604087431183e-02	1.13806	4
1.392552671904634665e-01 -8.491213876024045898e-03	1.10577	1
-9.472937402059291093e-03 1.393422126379516984e-02	1.30406	9
1.029092226747693219e-02 9.379132139536424176e-03	1.14434	8
-3.260875423397087414e-02 1.129516294158366182e-03	1.35409	7
-5.260265466991039668e-03 3.744454484517235893e-02	1.09796	10
1.142071524238734599e-02 9.985794675288751227e-03	1.12485	8
-8.203283879653014074e-03 3.117495814893559911e-02	1.22584	10
1.124654960186289958e-02 4.596959826310495901e-04	1.06681	8
-1.853690040311601348e-03 3.022726106091329357e-02	1.1984	10
-7.811832336540283812e-03 3.047946635124573755e-02	1.23157	10
-3.194586510981339833e-02 -3.440727857610792473e-03	1.20132	7
4.137800178580053334e-02 1.697488630377108620e-02	1.21207	13
-2.668430336611898879e-02 -6.691864139761822400e-03	1.15744	7
-1.002288007089346955e-03 -1.728943360239660124e-02	1.04216	8
-2.719203726961154713e-02 -4.491525251257624633e-03	1.15578	7
-3.057036722784952157e-02 1.668792264466571577e-03	1.09762	7
-3.647905953974983108e-03 -1.834676741589830185e-02	1.00144	8
-4.554288313211846129e-02 2.448862572525764905e-02	0.996505	7
-1.486562479943291312e-02 -2.756895002511895731e-02	1.05091	8
4.443477718529535714e-02 2.796301632701557113e-02	1.20279	13
-1.681302259469150129e-03 -2.372301488800655084e-02	1.02849	7
-1.600831210230333618e-02 3.115730312956561943e-02	1.2708	9
3.615532733775125851e-02 3.193916884635469161e-02	1.25922	13
-4.037364750915110184e-02 2.672876156457357905e-02	0.946373	7
-1.071522502498660490e-02 -2.446135417633814313e-02	1.06307	8
-4.242133401556102967e-02 2.625717500834291729e-02	0.993803	7
3.229585533084918664e-02 3.393232439435039938e-02	1.65965	11
-4.126833064773159643e-02 3.836749467101781275e-02	0.961694	7
-4.351419520044152306e-02 4.051574530028409504e-02	0.982051	7
-4.698116594641428556e-02 4.016818125968131536e-02	0.999163	7
1.295221492675592730e-02 1.655748519291389345e-02	1.52011	6
4.145264408694781209e-03 1.541038878075948713e-02	1.4884	0
2.293433765699033969e-02 1.746977377222119071e-02	1.23817	13
3.310390132356963444e-02 2.433932416713120370e-02	1.66863	6
3.776220131958634568e-02 2.578430536539402448e-02	1.7327	6
1.401129024472867052e-02 1.852197890078666545e-02	1.29183	13
1.696364240115076638e-02 2.948878719064923493e-02	1.33079	13
-1.788416918710100667e-02 6.017952368875997262e-04	1.17746	0
2.279177857526709650e-02 3.769391985199216366e-02	1.35417	13
3.261537728807514802e-02 3.912320573442870653e-02	1.29313	13
1.380004539087170169e-02 2.067385810203056090e-02	1.59967	6
7.996841385829202981e-03 4.247905510080945274e-02	1.6908	4
1.189705419068165168e-02 4.628409186425395949e-02	1.74421	4
1.318397932725301133e-02 1.700591528183341417e-02	1.06025	10
2.905490237457676594e-02 6.077639487495631321e-02	1.36923	11
5.661050033386819808e-02 -5.085269698193030201e-03	1.02281	14
-2.974969804415242627e-02 -1.849091929471338019e-02	1.19645	0
6.217073288918138763e-02 7.933937520258028953e-02	1.41562	11
-1.928419851892631751e-02 3.282478409202106012e-02	1.18473	9
-9.990668128170454576e-03 3.099369017363018050e-02	1.1976	9
-1.939361789573594216e-02 2.605078007273734300e-02	1.17819	9
5.165882978237389817e-02 -1.205686640533211972e-02	1.09524	14
-2.325081654599526690e-02 2.100331119915669481e-02	1.08388	9
3.414211567742488768e-02 5.841251751861059952e-03	1.22261	8
-2.548688971576759318e-02 2.952182732253599839e-02	1.13099	9
1.052933093649375575e-02 3.759260986782037017e-02	1.46695	13
-2.144335226684327897e-02 3.376432411953346480e-02	1.08491	9
-2.620093375414627931e-02 -6.857130801985285816e-03	1.13431	0
7.452643504382711059e-02 6.845561668565701939e-03	1.08994	14
-1.764789599924203312e-02 1.308592439850827724e-02	1.21609	7
-1.669116960810489506e-02 1.378949819672222257e-02	1.20079	7
-1.452147207718655110e-02 1.503446673504183970e-02	1.24879	7
8.022486544246410856e-04 2.802536090718048267e-02	1.36425	13
-1.790632953641518865e-02 -8.276684491807510813e-03	1.11828	0
-1.731486961281912540e-04 2.285781016168571267e-02	1.32419	10
2.042422199068085267e-03 5.269342365078475039e-03	1.16709	9
-2.091384024599133445e-02 1.515107162153413872e-02	1.3133	7
-9.196714605755090116e-03 2.559110633873501808e-02	1.45941	10
-1.447059916556498946e-02 1.492858648276461191e-02	1.31765	7
-1.907900847672294731e-02 1.078960081308815225e-02	1.30715	7
1.752652421535277221e-04 1.590260206842111779e-02	1.51672	5
3.318384071485937226e-02 6.949187657898520110e-02	1.3976	13
3.138044607906180505e-02 7.115700271754869799e-02	1.42574	13
8.530732070823924054e-03 1.681291534672299179e-02	1.54175	5
1.581182357872307556e-02 1.654454572532255974e-02	1.27524	10
2.252643492896583277e-02 2.416436330899646157e-02	1.03334	2
8.118549224306948961e-03 1.345405491496711424e-02	1.52127	5
1.188629796414088615e-03 1.396352290187909129e-02	1.44481	5
1.050720643752587821e-02 2.316941710143380698e-02	1.00464	2
4.603048187096323018e-02 1.569529923796349896e-02	1.07291	10
6.311131897365439107e-03 1.971840897584107091e-02	1.07518	2
7.799711144965588115e-03 1.927795581809819622e-02	1.45354	8
-3.594401649596312177e-03 7.799549546486100535e-03	1.36134	0
-3.159421926536042265e-03 1.132084929516107355e-02	1.48385	5
-1.047702874172176451e-03 2.180066465935963371e-02	1.20122	2
3.084404521888258616e-02 1.769627347008052506e-02	1.77536	4
2.258060434693275054e-02 1.727119554941415266e-02	1.77759	4
6.399235883808555847e-02 4.759401549151408284e-02	1.32549	14
5.636000997672361429e-02 5.075996256945816687e-02	1.29779	14
5.933520331452850349e-02 4.853137020491440912e-02	1.31378	14
-1.546903820208143064e-02 2.061776945417686732e-02	1.11303	2
1.726073571840342283e-02 -1.584998282278830524e-03	1.10588	10
2.971248261063627952e-02 2.106972253150900601e-02	1.78772	4
1.367049148712636171e-02 1.766819343115018023e-02	1.44327	8
1.929999350742959974e-02 3.395300488309462017e-02	1.57579	1
2.333234749297298169e-02 -2.557685606014958781e-03	1.05451	10
-2.666104019397036451e-02 6.004514000009866098e-02	1.06462	3
2.701288040599661433e-02 1.410090255093465923e-02	1.93615	4
2.905109833769530664e-02 4.180728534866656743e-02	1.47705	1
3.032115497737901399e-02 4.392231747250933266e-02	1.51795	1
5.099146420834604725e-03 1.834428941865333396e-02	1.25412	10
2.344486031335662676e-02 1.874158130774389308e-02	1.83827	4
3.418072435903040090e-03 2.102037058153486890e-02	1.28622	10
4.484084889624111864e-02 5.978536506368711118e-02	1.65377	12
-1.466175250659681843e-02 -9.270074328901771812e-03	1.11763	2
4.575341052644270150e-03 2.075871659353000290e-02	1.29533	10
1.012568528459843742e-03 1.066318838105398403e-02	1.25221	10
-2.415998638826823489e-02 -8.654586122096892195e-03	1.18779	2
-6.394331880476114387e-03 1.661149953340107163e-02	1.30227	10
1.801128861476101323e-02 1.788063669477946496e-02	1.77695	8
1.884737329617228868e-02 4.604907334013077602e-04	1.10788	10
2.182674629533800509e-02 -1.215361534348855833e-02	1.05462	10
2.037639899193662008e-02 -6.180182996374835279e-03	1.09053	10
2.715358073482856613e-02 -6.746454902399045932e-03	1.05432	10
5.692119329280219409e-02 2.864698878408516308e-02	1.33542	13
5.569779163551454720e-02 1.995280437769811691e-02	1.24412	13
2.719750397171563638e-02 -1.071646340618638039e-02	1.04332	10
1.151529487817700842e-01 4.837652416453347426e-02	1.15625	11
1.011078391350921923e-01 5.000718755635788493e-02	1.17534	11
1.361284544695688381e-01 4.188791706977916529e-02	1.05343	14
1.077399116452009559e-02 4.402771163277565541e-02	1.49731	9
2.398598299035709092e-02 2.950652296706540723e-02	1.48641	13
-1.102132639358321519e-03 1.723111576188283631e-02	1.33153	3
3.127809886368675130e-02 -2.035511286561762084e-02	0.94752	1
1.232415766642907945e-01 5.889639479096129421e-03	1.04068	14
-2.780698921961671788e-02 5.385145354400350942e-02	0.975351	1
1.085282021581256001e-01 6.374406386011483017e-02	1.24979	11
1.256866204164688028e-01 5.578587846564223018e-02	1.20395	11
4.733241753046932981e-03 1.128049262339601844e-02	1.15704	6
-2.825875895099710759e-03 2.864673696255552651e-03	1.08592	6
1.779926164249999790e-02 8.057468119352836347e-04	1.07781	10
1.115887359336366624e-01 7.891739583953091830e-02	1.30742	11
-4.541971940908870464e-02 4.723796422986146354e-02	0.939014	1
-3.834928258987597982e-02 4.589571280930016678e-02	0.933233	1
1.793288601027228507e-02 3.766661645385262214e-02	1.20075	2
1.273161490000791242e-02 1.580347402866690357e-02	1.20015	10
1.863974087636409481e-04 7.291019236062226336e-03	1.18607	6
1.300983488018355415e-02 1.482226851946327403e-02	1.22547	10
3.158783995189420879e-02 -4.082168824803748125e-02	0.940701	1
1.046997348109014042e-01 5.502266828759094092e-02	1.30222	11
1.013935892299683839e-01 4.913795100487108186e-02	1.21652	11
-4.057428378275058228e-02 4.296609768638810084e-02	0.947877	1
1.572579082313082730e-02 1.821217047770911507e-02	1.19636	10
9.877472539473909977e-03 2.351272849143347041e-02	1.24744	10
